IDAtracacao;TEsperaAtracacao;TEsperaInicioOp;TOperacao;TEsperaDesatracacao;TAtracado;TEstadia
1637053;Valor Discrepante;1,8000000001048;40,699999999953;7,6666666666861;50,166666666744;Valor Discrepante
1572543;Valor Discrepante;1,8666666666395;52,300000000047;34,5;88,666666666686;109,74999999994
1594677;0,76666666654637;5,1500000000233;49,250000000058;1,0833333333721;55,483333333454;56,25
1594656;0,63333333347691;6,0666666665347;44,383333333419;1,4166666665697;51,866666666523;52,5
1594660;0,56666666659294;8,5166666666628;37,5;1,7500000001164;47,766666666779;48,333333333372
1554752;0,60000000003492;1,7333333333954;44,599999999919;5,6500000000815;51,983333333395;52,58333333343
1615055;0,49999999988358;1,5499999999884;42,933333333407;6,6000000000349;51,08333333343;51,583333333314
1572513;0,16666666668607;1,2500000000582;47,299999999988;28,416666666744;76,966666666791;77,133333333477
1615047;0,33333333337214;1,4833333334536;38,933333333291;12,66666666657;53,083333333314;53,416666666686
1615050;0,50000000005821;1,3666666665813;39,383333333361;27,75;68,499999999942;69
1572516;10,699999999953;2,3333333334303;40,883333333361;11,499999999942;54,716666666733;65,416666666686
1615048;0,46666666661622;1,9500000000698;37,999999999884;Valor Discrepante;114,70000000001;115,16666666663
1572517;0,63333333330229;1,5499999999884;47,733333333337;7,8333333333721;57,116666666698;57,75
1615052;15,583333333314;1,7500000001164;39,916666666686;15,083333333256;56,750000000058;72,333333333372
1572525;1,2833333333256;1,3833333334769;45,933333333232;17,399999999965;64,716666666674;66
1554753;0,58333333331393;4,9166666668025;50,416666666686;1,6666666665114;57;57,583333333314
1615054;0,71666666655801;1,6833333334071;43,516666666546;29,833333333489;75,033333333442;75,75
1534492;0,65000000002328;12,266666666663;49,916666666628;1,9166666666279;64,099999999919;64,749999999942
1534493;0,54999999987194;4,3166666667676;52,549999999988;3,2499999999418;60,116666666698;60,66666666657
1534610;0,66666666674428;10,833333333372;46,666666666686;1,1666666666279;58,666666666686;59,33333333343
1554725;0,6166666665813;6,6166666667559;52,849999999919;5,1666666667443;64,633333333419;65,25
1534616;0,91666666668607;23,666666666628;47,916666666744;1,2499999998836;72,833333333256;73,749999999942
1534611;0,60000000003492;9,0666666667094;58,666666666511;2,1666666667443;69,899999999965;70,5
1594651;0,96666666667443;3,6166666665813;39,583333333314;7,2500000000582;50,449999999953;51,416666666628
1594654;5,8499999998603;1,4833333334536;36,199999999953;1,0499999999302;38,733333333337;44,583333333198
1572533;0,78333333326736;1,9000000000815;40,066666666651;16,749999999942;58,716666666674;59,499999999942
1594650;0,73333333345363;1,5;42,516666666605;1,5;45,516666666605;46,250000000058
1572565;1,5333333332674;1,1333333333605;48;6,3333333333721;55,466666666733;57
